"Result:CPU vUSN(2026-03-06 094524)_20260306_104633.csv"
"Save Time:2026-03-06 10:46:33"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:CPU performance measurement"

"Total 2,709 records"

"Start Time","Period (min)","NE Name","VM","CPU average usage (%)","CPU max usage (%)","CPU usage (%)"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","40","42","40"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","28","29","28"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","10","12","11"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","10","11","11"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","10","11","10"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","24","27","25"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","23","26","23"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","25","28","25"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","25","27","25"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","24","26","24"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0081","25","28","25"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0075","11","12","11"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_J_0076","11","12","12"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0068","32","34","33"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0069","31","33","31"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_O_0077","31","33","31"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0072","16","18","16"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_P_0073","17","19","17"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_0","14","17","15"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=LLG_USN01_OMU_1","17","22","20"
"2026-03-01 00:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","44","47","43"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0064","42","44","42"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0065","39","40","39"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=IPU_A_0074","27","28","28"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0070","10","11","11"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0071","10","11","11"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SDU_A_0082","9","11","10"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0066","23","25","24"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0067","22","24","23"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0078","24","25","24"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0079","24","25","24"
"2026-03-01 01:00:00","60","CLOUDUSN","nodeName=VNFP, VM Name=SPU_B_0080","23","24","23"
