"Result:CPU vUSN(2026-03-06 094524)_20260306_104527.csv"
"Save Time:2026-03-06 10:45:27"
"User Name:fraser.msusa"


"NE Type Name:vUSN"

"NE Names:CLOUDUSN;LMB_vUSN01"

"Function Subset Name:CPU performance measurement"

"Total 2,451 records"

"Start Time","Period (min)","NE Name","VM","CPU average usage (%)","CPU max usage (%)","CPU usage (%)"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0065","40","42","40"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","8","10","9"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0067","8","9","8"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0068","8","9","8"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0069","22","25","22"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0070","22","25","22"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0071","22","25","23"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0072","23","25","23"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0073","23","25","23"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0079","11","11","11"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0080","11","11","11"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0074","25","27","25"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","25","27","25"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","27","26"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","21","23","21"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","21","23","22"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","24","22"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","31","26"
"2026-03-01 00:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0064","40","42","40"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0064","39","40","39"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0065","39","40","39"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","8","9","9"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0067","8","9","9"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0068","8","9","8"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0069","21","23","22"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0070","21","22","22"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0071","22","23","22"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0072","22","23","22"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0073","22","23","23"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0079","11","11","11"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0080","11","11","11"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0074","25","26","25"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","24","25","25"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","26","25"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","20","21","21"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","21","22","21"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","30","21"
"2026-03-01 01:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","37","26"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0064","38","39","39"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=IPU_A_0065","38","39","39"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0066","8","9","9"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0067","8","9","8"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SDU_A_0068","8","9","9"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0069","21","23","22"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0070","21","22","22"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0071","22","23","23"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0072","22","23","23"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_B_0073","22","23","23"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0079","11","11","11"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_J_0080","11","11","11"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0074","25","26","25"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0075","24","26","25"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_O_0076","25","26","26"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0077","20","21","21"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=SPU_P_0078","21","22","21"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_0","21","24","22"
"2026-03-01 02:00:00","60","LMB_vUSN01","nodeName=VNFP, VM Name=LMB_CloudUSN01_OMU_1","26","32","27"
