

"Alarm Records -- Current Alarms"
"Save Time: 2026-03-09 12:15:02"
"Username: fraser.msusa"
"Maintenance Status is in NORMAL.
Alarm source = LMB_UGW,cgw@LLG_vCGW01,cgw@LMB_vCGW01,csdb@LLG_vCGW01,csdb@LMB_vCGW01..."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Last Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","CELL Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status","Subnet"
"		-","Critical","157024261","License Has Entered Grace Period","vUGW","LLG_vCGW01","cgw","		-","1","2026-03-09 02:58:54","2026-03-09 02:58:54","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592556432","		-","10252","MO=License Alarm Info, Reason=License deadline over, Remain Day=29, Feature Name=Trial0","NORMAL","ROOT"
"		-","Critical","157024261","License Has Entered Grace Period","vUGW","LMB_vCGW01","cgw","		-","1","2026-03-09 02:51:57","2026-03-09 02:51:57","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592555881","		-","9777","MO=License Alarm Info, Reason=License deadline over, Remain Day=29, Feature Name=Trial0","NORMAL","ROOT"
"		-","Major","603","License about to expire","UGW","LMB_UGW","LMB_UGW","The days after that the valid period of license will expire=4, Feature=UGWRF","1","2026-03-09 00:16:14","2026-03-09 00:16:14","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592541982","		-","49134","		-","NORMAL","ROOT"
"		-","Critical","2617","No response from the report server","UGW","LMB_UGW","LMB_UGW","Local IP address=10.250.0.245, VPN=udn_vpn, Reporting server IP address=10.236.18.4","1","2026-03-05 19:38:01","2026-03-05 19:38:01","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592033359","		-","49129","		-","NORMAL","ROOT"
"		-","Critical","2617","No response from the report server","UGW","LMB_UGW","LMB_UGW","Local IP address=10.250.0.246, VPN=udn_vpn, Reporting server IP address=10.236.18.4","1","2026-03-05 19:37:57","2026-03-05 19:37:57","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592033354","		-","49128","		-","NORMAL","ROOT"
"		-","Critical","2617","No response from the report server","UGW","LMB_UGW","LMB_UGW","Local IP address=10.250.0.245, VPN=udn_vpn, Reporting server IP address=10.236.18.5","1","2026-03-05 17:58:21","2026-03-05 17:58:21","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592020921","		-","49127","		-","NORMAL","ROOT"
"		-","Critical","2617","No response from the report server","UGW","LMB_UGW","LMB_UGW","Local IP address=10.250.0.246, VPN=udn_vpn, Reporting server IP address=10.236.18.5","1","2026-03-05 17:58:18","2026-03-05 17:58:18","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592020916","		-","49126","		-","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vCGW01","VNFP","User Name=a_gobede","1","2026-02-10 09:44:14","2026-02-10 09:44:14","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","588186262","		-","140472","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vCGW01","VNFP","User Name=a_gobede","1","2026-02-10 09:32:12","2026-02-10 09:32:12","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","588184922","		-","140907","Password Configured Days=365","NORMAL","ROOT"
"		-","Major","673","ARP probe failure","UGW","LMB_UGW","LMB_UGW","Trunk name=Eth-Trunk2.2, Port name=GigabitEthernet5/1/0, IP address=172.25.12.233","1","2026-01-23 18:44:41","2026-01-23 18:44:41","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","584750867","		-","48960","		-","NORMAL","ROOT"
"		-","Major","673","ARP probe failure","UGW","LMB_UGW","LMB_UGW","Trunk name=Eth-Trunk2.5, Port name=GigabitEthernet1/0/2, IP address=10.250.41.66","1","2026-01-23 18:44:26","2026-01-23 18:44:26","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","584750812","		-","48959","		-","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","fac","		-","1","2025-04-29 01:43:27","2025-04-29 01:43:27","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854744","		-","780","Valid Begin Time=2022-04-30 01:43:20, Valid End Time=2025-04-29 01:43:20","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","gsc","		-","1","2025-04-29 01:41:52","2025-04-29 01:41:52","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854645","		-","801","validBeginTime=2022-04-30 01:41:44, validEndTime=2025-04-29 01:41:44","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vCGW01","omo","		-","1","2025-04-29 01:41:43","2025-04-29 01:41:43","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524854636","		-","802","Valid Begin Time=2022-04-30 01:41:37, Valid End Time=2025-04-29 01:41:37","NORMAL","ROOT"
