

"Alarm Records -- Current Alarms"
"Save Time: 2026-03-09 12:19:52"
"Username: fraser.msusa"
"Maintenance Status is in NORMAL.
Alarm source = csdb@LLG_vDGW01,csdb@LMB_vDGW01,cslb@LLG_vDGW01,cslb@LMB_vDGW01,dgw@LLG_vDGW01..."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurrence Times","First Occurred (NT)","Last Occurred (NT)","Cleared On (NT)","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","CELL Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status","Subnet"
"		-","Critical","157024261","License Has Entered Grace Period","vUGW","LMB_vDGW01","dgw","		-","1","2026-03-09 02:50:26","2026-03-09 02:50:26","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592555777","		-","75895","MO=License Alarm Info, Reason=License deadline over, Remain Day=29, Feature Name=Trial0","NORMAL","ROOT"
"		-","Critical","157024261","License Has Entered Grace Period","vUGW","LLG_vDGW01","dgw","		-","1","2026-03-09 02:00:42","2026-03-09 02:00:42","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","592551174","		-","173107","MO=License Alarm Info, Reason=License deadline over, Remain Day=29, Feature Name=Trial0","NORMAL","ROOT"
"		-","Major","81032","Service filter rule is not effective","vUGW","LLG_vDGW01","dgw","Service Filter Not Effective Reason=Filter, FltBindFlowF, Acl, AclNode, AclNodeBindAcl or IPList no effective","1","2026-02-27 10:13:09","2026-02-27 10:13:09","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","591031633","		-","171869","RU name=DGW_OM_RU_0002","NORMAL","ROOT"
"		-","Major","81032","Service filter rule is not effective","vUGW","LMB_vDGW01","dgw","Service Filter Not Effective Reason=Filter, FltBindFlowF, Acl, AclNode, AclNodeBindAcl or IPList no effective","1","2026-02-26 15:15:43","2026-02-26 15:15:43","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","590873782","		-","74833","RU name=DGW_OM_RU_0001","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=a_gobede","1","2026-02-10 09:42:09","2026-02-10 09:42:09","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","588186053","		-","140641","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LLG_vDGW01","VNFP","User Name=a_gobede","1","2026-02-10 09:37:04","2026-02-10 09:37:04","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","588185519","		-","143199","Password Configured Days=365","NORMAL","ROOT"
"		-","Minor","136781867","User Password Not Changed for a Long Time","vUGW","LMB_vDGW01","VNFP","User Name=sftpuser","1","2026-01-29 01:41:54","2026-01-29 01:41:54","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","586046553","		-","129942","Password Configured Days=365","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","udr","		-","1","2025-05-18 16:17:42","2025-05-18 16:17:42","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","528717893","		-","12843","Valid Begin Time=2022-05-19 16:17:42, Valid End Time=2025-05-18 16:17:42","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","fac","		-","1","2025-04-29 02:09:28","2025-04-29 02:09:28","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856486","		-","780","Valid Begin Time=2022-04-30 02:09:25, Valid End Time=2025-04-29 02:09:25","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","gsc","		-","1","2025-04-29 02:07:59","2025-04-29 02:07:59","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856401","		-","794","validBeginTime=2022-04-30 02:07:50, validEndTime=2025-04-29 02:07:50","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","omo","		-","1","2025-04-29 02:07:54","2025-04-29 02:07:54","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856398","		-","785","Valid Begin Time=2022-04-30 02:07:45, Valid End Time=2025-04-29 02:07:45","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","vnrs","		-","1","2025-04-29 02:07:32","2025-04-29 02:07:32","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856357","		-","39180","Valid Begin Time=2022-04-30 02:07:25, Valid End Time=2025-04-29 02:07:25","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","csdb","		-","1","2025-04-29 02:07:27","2025-04-29 02:07:27","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856351","		-","1898","Valid Begin Time=2022-04-30 02:07:19, Valid End Time=2025-04-29 02:07:19","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","cslb","		-","1","2025-04-29 02:07:19","2025-04-29 02:07:19","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856346","		-","902","Valid Begin Time=2022-04-30 02:07:11, Valid End Time=2025-04-29 02:07:11","NORMAL","ROOT"
"		-","Major","238493706","Master Key Expired","vUGW","LMB_vDGW01","dgw","		-","1","2025-04-29 02:07:18","2025-04-29 02:07:18","		-","		-","		-","		-","Uncleared","		-","		-","Unacknowledged","		-","		-","		-","524856343","		-","41475","validBeginTime=2022-04-30 02:07:08, validEndTime=2025-04-29 02:07:08","NORMAL","ROOT"
